variable,frequency,timestep,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio
U010,daily,16,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,17,5,74526772.0,1.4801291675426382,18,43790991.0,2.5189941237000095
U010,daily,18,4,57160011.0,1.9298325362463629,18,43790991.0,2.5189941237000095
U010,daily,19,4,57160011.0,1.9298325362463629,18,43790991.0,2.5189941237000095
U010,daily,20,4,57160011.0,1.9298325362463629,18,43790991.0,2.5189941237000095
U010,daily,21,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,22,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,23,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U200,daily,0,3,57936442.0,2.142051784954278,14,36084286.0,3.4392494006948064
U200,daily,1,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,2,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,3,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,4,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,5,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,6,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,7,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,8,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,9,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,10,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,11,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,12,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,13,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,14,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,15,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,16,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,17,3,57936442.0,2.142051784954278,14,36084286.0,3.4392494006948064
U200,daily,18,3,57936442.0,2.142051784954278,14,36084286.0,3.4392494006948064
U200,daily,19,3,57936442.0,2.142051784954278,14,36084286.0,3.4392494006948064
U200,daily,20,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U200,daily,21,3,57936442.0,2.142051784954278,14,36084286.0,3.4392494006948064
U200,daily,22,3,57936442.0,2.142051784954278,14,36084286.0,3.4392494006948064
U200,daily,23,4,72230675.0,1.7181461892748475,14,36084286.0,3.4392494006948064
U500,daily,0,3,59818049.0,2.116047281983403,14,39892357.0,3.172984238559782
U500,daily,1,3,59818049.0,2.116047281983403,14,39892357.0,3.172984238559782
U500,daily,2,3,59818049.0,2.116047281983403,14,39892357.0,3.172984238559782
U500,daily,3,3,59818049.0,2.116047281983403,14,39892357.0,3.172984238559782
